,Host,CID_Host,Guest,CID_Guest,pH,T,DeltaG,Erreur,K,logK,Reference,Original_Value,Drop
2457,alpha-cyclodextrin,444913,COC1=CC=CC(O)=C1,,7.0,298.0,-5.88,,11,2.37,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,True
2458,alpha-cyclodextrin,444913,CC1=CC=C(S(=O)(=O)O)C=C1,,7.0,298.0,-6.98,,17,2.82,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2459,alpha-cyclodextrin,444913,CNC1=CC=CC=C1,,7.0,298.0,-10.95,,83,4.42,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2460,alpha-cyclodextrin,444913,NCC1=CC=CC=C1,,7.0,298.0,-7.08,,17,2.86,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,True
2461,alpha-cyclodextrin,444913,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,7.0,298.0,-8.07,,26,3.26,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2462,alpha-cyclodextrin,444913,CN(C)C1=CC=C([N+](=O)[O-])C=C1,,6.0,298.0,-17.52,,1180,7.07,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2463,alpha-cyclodextrin,444913,CCC1=CC=C(O)C=C1,,7.0,298.0,-12.15,,135,4.91,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2464,alpha-cyclodextrin,444913,CCC1=CC=CC(O)=C1,,7.0,298.0,-10.83,,79,4.37,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2465,alpha-cyclodextrin,444913,CCOC1=CC=CC=C1,,7.0,298.0,-12.74,,171,5.14,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2466,alpha-cyclodextrin,444913,CC1=CC(C)=CC(O)=C1,,7.0,298.0,-10.25,,63,4.14,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2467,alpha-cyclodextrin,444913,CCOC1=CC=CC(O)=C1,,7.0,298.0,-9.64,,49,3.89,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2468,alpha-cyclodextrin,444913,CCOC1=CC=C(O)C=C1,,7.0,298.0,-10.66,,74,4.3,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2469,alpha-cyclodextrin,444913,COC1=CC(O)=CC(OC)=C1,,7.0,298.0,-6.79,,15,2.74,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,True
2470,alpha-cyclodextrin,444913,CCNC1=CC=CC=C1,,7.0,298.0,-12.02,,128,4.85,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2471,alpha-cyclodextrin,444913,CN(C)C1=CC=CC=C1,,7.0,298.0,-12.75,,172,5.15,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2472,alpha-cyclodextrin,444913,NCCC1=CC=CC=C1,,7.0,298.0,-8.11,,26,3.27,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,True
2473,alpha-cyclodextrin,444913,CCC1(CC)C(=O)NC(=S)NC1=O,,7.0,298.0,-15.4,,500,6.21,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2474,alpha-cyclodextrin,444913,CCNC1=NC(Cl)=NC(NC(C)C)=N1,,7.0,298.0,-21.05,,4900,8.5,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2475,alpha-cyclodextrin,444913,CCC1CCCCC1,,7.0,298.0,-18.85,,2017,7.61,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2476,alpha-cyclodextrin,444913,CC(=O)N[C@@H](CC(C)C)C(N)=O,,7.0,298.0,-7.42,,20,3.0,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2477,alpha-cyclodextrin,444913,O[C@H]1CCCCCC[C@H]1O,,7.0,298.0,-10.89,,81,4.39,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2478,alpha-cyclodextrin,444913,[CH2]CCCCCCC,,7.0,298.0,-18.43,,1700,7.44,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2479,alpha-cyclodextrin,444913,CCCCCCCCO,,5.5,298.0,-16.78,,872,6.77,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2480,alpha-cyclodextrin,444913,N#CC1=CC=CC(C#N)=C1,,7.0,298.0,-7.36,,20,2.97,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,True
2481,alpha-cyclodextrin,444913,O=C(O)C1=CC=C(C(=O)O)C=C1,,7.0,298.0,-17.85,,1344,7.2,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,True
2482,alpha-cyclodextrin,444913,O=C(O)C1=CC=CC(C(=O)O)=C1,,7.0,298.0,-13.51,,233,5.45,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2483,alpha-cyclodextrin,444913,CC(=O)OC1=CC=CC(Br)=C1,,7.0,298.0,-15.97,,630,6.45,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2484,alpha-cyclodextrin,444913,CC(=O)OC1=CC=C(Cl)C=C1,,7.0,298.0,-10.27,,63,4.15,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2485,alpha-cyclodextrin,444913,O[C@@H](C1=CC=CC=C1)C(F)(F)F,,7.0,298.0,-10.02,,57,4.04,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2486,alpha-cyclodextrin,444913,O[C@H](C1=CC=CC=C1)C(F)(F)F,,7.0,298.0,-10.01,,57,4.04,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2487,alpha-cyclodextrin,444913,CC(=O)OC1=CC=CC(F)=C1,,7.0,298.0,-6.56,,14,2.65,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,True
2488,alpha-cyclodextrin,444913,CC(=O)OC1=CC=CC(I)=C1,,7.0,298.0,-18.94,,2089,7.64,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2489,alpha-cyclodextrin,444913,C=CC1=CC=CC=C1,,7.0,298.0,-14.05,,290,5.67,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2490,alpha-cyclodextrin,444913,CC(=O)C1=CC=CC=C1,,7.0,298.0,-12.24,,140,4.94,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2491,alpha-cyclodextrin,444913,COC(=O)C1=CC=CC=C1,,7.0,298.0,-13.28,,213,5.36,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2492,alpha-cyclodextrin,444913,COC(=O)C1=CC=C(O)C=C1,,7.0,298.0,-15.72,,569,6.34,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,True
2493,alpha-cyclodextrin,444913,COC1=CC(C=O)=CC=C1O,,7.0,298.0,-6.77,,15,2.73,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,True
2494,alpha-cyclodextrin,444913,O=C(O)[C@H](O)C1=CC=CC=C1,,7.0,298.0,-5.12,,8,2.07,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2495,alpha-cyclodextrin,444913,COC(=O)C1=CC=C(O)C(O)=C1,,7.0,298.0,-15.13,,448,6.1,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,True
2496,alpha-cyclodextrin,444913,CC(=O)NC1=CC=CC=C1,,7.0,298.0,-11.48,,103,4.63,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2497,alpha-cyclodextrin,444913,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,7.0,298.0,-8.26,,28,3.33,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2498,alpha-cyclodextrin,444913,C=CCC1=CC=CC=C1,,7.0,298.0,-13.42,,225,5.42,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2499,alpha-cyclodextrin,444913,CCOC(=O)C1=CC=CC=C1,,7.0,298.0,-14.59,,361,5.89,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2500,alpha-cyclodextrin,444913,CC1=CC=C(C)C(C(=O)O)=C1,,7.0,298.0,-9.2,,41,3.71,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2501,alpha-cyclodextrin,444913,CC1=CC=C(C(=O)O)C(C)=C1,,7.0,298.0,-9.43,,45,3.81,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2502,alpha-cyclodextrin,444913,CC1=CC(C)=CC(C(=O)O)=C1,,7.0,298.0,-9.08,,39,3.66,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2503,alpha-cyclodextrin,444913,CC(=O)OC1=CC=CC=C1C,,7.0,298.0,-9.82,,53,3.96,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,True
2504,alpha-cyclodextrin,444913,CCOC(=O)C1=CC=C(O)C=C1,,7.0,298.0,-12.57,,160,5.08,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,True
2505,alpha-cyclodextrin,444913,CC1=CC(C(=O)O)=CC(C)=C1O,,7.0,298.0,-7.15,,18,2.88,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2506,alpha-cyclodextrin,444913,COC1=CC(OC)=CC(C(=O)O)=C1,,7.0,298.0,-9.54,,47,3.85,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2507,alpha-cyclodextrin,444913,CC(=O)NC1=CC=C(C)C=C1,,7.0,298.0,-8.53,,31,3.44,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,True
2508,alpha-cyclodextrin,444913,CC(=O)NC1=CC=CC(C)=C1,,7.0,298.0,-5.7,,10,2.3,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,True
2509,alpha-cyclodextrin,444913,CC(=O)NC1=CC=CC=C1C,,7.0,298.0,-7.03,,17,2.84,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,True
2510,alpha-cyclodextrin,444913,CCOC(=O)C1=CC=C(N)C=C1,,7.0,298.0,-12.96,,187,5.23,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,True
2511,alpha-cyclodextrin,444913,CC(C)C1=CC=C([N+](=O)[O-])C=C1,,6.0,298.0,-15.42,,505,6.22,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2512,alpha-cyclodextrin,444913,N[C@@H](CC1=CC=CC=C1)C(=O)O,,5.01,298.0,-5.15,,8,2.08,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2513,alpha-cyclodextrin,444913,N[C@@H](CC1=CC=CC=C1)C(=O)O,,7.2,298.0,-9.28,,42,3.74,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2514,alpha-cyclodextrin,444913,N[C@H](CC1=CC=CC=C1)C(=O)O,,5.01,298.0,-5.15,,8,2.08,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2515,alpha-cyclodextrin,444913,N[C@H](CC1=CC=CC=C1)C(=O)O,,7.0,298.0,-7.5,,21,3.03,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2516,alpha-cyclodextrin,444913,CCCC1=CC=CC=C1,,7.0,298.0,-15.81,,590,6.38,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,True
2517,alpha-cyclodextrin,444913,CC(C)C1=CC=CC=C1,,7.0,298.0,-10.6,,72,4.28,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,True
2518,alpha-cyclodextrin,444913,NC(=O)[C@@H](N)CC1=CC=CC=C1,,5.01,298.0,-6.16,,12,2.48,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2519,alpha-cyclodextrin,444913,CCCC1=CC=C(O)C=C1,,7.0,298.0,-15.69,,563,6.33,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2520,alpha-cyclodextrin,444913,CCCC1=CC=CC(O)=C1,,7.0,298.0,-14.32,,324,5.78,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2521,alpha-cyclodextrin,444913,C[C@H](N)CC1=CC=CC=C1,,7.0,298.0,-8.0,,25,3.23,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2522,alpha-cyclodextrin,444913,CC(C)(C)C1=CC=NC=C1,,7.0,298.0,-11.0,,85,4.44,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,True
2523,alpha-cyclodextrin,444913,CC(=O)OCC(COC(C)=O)OC(C)=O,,7.0,298.0,-6.16,,12,2.48,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,True
2524,alpha-cyclodextrin,444913,CCCCCCCCCO,,5.5,298.0,-17.23,,1049,6.96,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2525,alpha-cyclodextrin,444913,CCCCC(O)CCCC,,7.0,298.0,-16.17,,684,6.53,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2526,alpha-cyclodextrin,444913,C1=CC=C2C=NC=CC2=C1,,7.0,298.0,-7.74,,23,3.12,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,True
2527,alpha-cyclodextrin,444913,CC(=O)OC1=CC=CC(C#N)=C1,,7.0,298.0,-9.92,,55,4.01,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2528,alpha-cyclodextrin,444913,O=C(O)C=CC1=CC=CC=C1[N+](=O)[O-],,7.0,298.0,-11.48,,103,4.63,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2529,alpha-cyclodextrin,444913,CC(=O)OC1=CC=C(C(=O)O)C=C1[N+](=O)[O-],,7.0,298.0,-11.69,,112,4.72,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2530,alpha-cyclodextrin,444913,O=C(O)C=CC1=CC=C(O)C=C1,,7.0,298.0,-18.83,,1998,7.6,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2531,alpha-cyclodextrin,444913,O=C(O)C=CC1=CC=CC=C1O,,7.0,298.0,-17.37,,1110,7.01,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2532,alpha-cyclodextrin,444913,CC(=O)OC1=CC=CC(C(=O)O)=C1,,7.0,298.0,-5.58,,10,2.25,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
